group_type,group_value,n,both_correct,both_incorrect,cheap_correct_strong_incorrect,cheap_incorrect_strong_correct
overall,all,200,79,94,14,13
reader_panel,original_two_reader,134,51,67,8,8
reader_panel,sequential_gpt_reader,66,28,27,6,5
reader,DeepSeek,67,21,40,5,1
reader,Gemini,67,30,27,3,7
reader,OpenAI,66,28,27,6,5
source,memops,100,50,35,8,7
source,rhelm,100,29,59,6,6
route,global_dense,67,17,41,4,5
route,namespace_dense,67,30,27,6,4
route,namespace_policy_gate,66,32,26,4,4
stratum,DeepSeek/memops/global_dense,11,2,6,3,0
stratum,DeepSeek/memops/namespace_dense,11,8,3,0,0
stratum,DeepSeek/memops/namespace_policy_gate,11,5,5,1,0
stratum,DeepSeek/rhelm/global_dense,12,0,11,0,1
stratum,DeepSeek/rhelm/namespace_dense,11,2,8,1,0
stratum,DeepSeek/rhelm/namespace_policy_gate,11,4,7,0,0
stratum,Gemini/memops/global_dense,11,3,6,0,2
stratum,Gemini/memops/namespace_dense,12,8,3,0,1
stratum,Gemini/memops/namespace_policy_gate,11,8,1,0,2
stratum,Gemini/rhelm/global_dense,11,4,6,0,1
stratum,Gemini/rhelm/namespace_dense,11,3,5,2,1
stratum,Gemini/rhelm/namespace_policy_gate,11,4,6,1,0
stratum,OpenAI/memops/global_dense,11,4,5,1,1
stratum,OpenAI/memops/namespace_dense,11,5,3,2,1
stratum,OpenAI/memops/namespace_policy_gate,11,7,3,1,0
stratum,OpenAI/rhelm/global_dense,11,4,7,0,0
stratum,OpenAI/rhelm/namespace_dense,11,4,5,1,1
stratum,OpenAI/rhelm/namespace_policy_gate,11,4,4,1,2
