model,axis,role,allow_prediction,block_prediction,transition_count,transition_rate
OpenAI/gpt-5.6-sol,all,all_stable,admissible,admissible,14,0.21875
OpenAI/gpt-5.6-sol,all,all_stable,admissible,unknown,1,0.015625
OpenAI/gpt-5.6-sol,all,all_stable,inadmissible,admissible,9,0.140625
OpenAI/gpt-5.6-sol,all,all_stable,inadmissible,inadmissible,34,0.53125
OpenAI/gpt-5.6-sol,all,all_stable,inadmissible,unknown,2,0.03125
OpenAI/gpt-5.6-sol,all,all_stable,unknown,admissible,1,0.015625
OpenAI/gpt-5.6-sol,all,all_stable,unknown,unknown,3,0.046875
OpenAI/gpt-5.6-sol,all,stable_admissible,admissible,admissible,14,0.4375
OpenAI/gpt-5.6-sol,all,stable_admissible,admissible,unknown,1,0.03125
OpenAI/gpt-5.6-sol,all,stable_admissible,inadmissible,admissible,7,0.21875
OpenAI/gpt-5.6-sol,all,stable_admissible,inadmissible,inadmissible,4,0.125
OpenAI/gpt-5.6-sol,all,stable_admissible,inadmissible,unknown,2,0.0625
OpenAI/gpt-5.6-sol,all,stable_admissible,unknown,admissible,1,0.03125
OpenAI/gpt-5.6-sol,all,stable_admissible,unknown,unknown,3,0.09375
OpenAI/gpt-5.6-sol,all,stable_inadmissible,inadmissible,admissible,2,0.0625
OpenAI/gpt-5.6-sol,all,stable_inadmissible,inadmissible,inadmissible,30,0.9375
OpenAI/gpt-5.6-sol,as_of_time,all_stable,admissible,admissible,6,0.375
OpenAI/gpt-5.6-sol,as_of_time,all_stable,inadmissible,inadmissible,10,0.625
OpenAI/gpt-5.6-sol,as_of_time,stable_admissible,admissible,admissible,6,0.75
OpenAI/gpt-5.6-sol,as_of_time,stable_admissible,inadmissible,inadmissible,2,0.25
OpenAI/gpt-5.6-sol,as_of_time,stable_inadmissible,inadmissible,inadmissible,8,1.0
OpenAI/gpt-5.6-sol,lifecycle_intent,all_stable,admissible,admissible,1,0.0625
OpenAI/gpt-5.6-sol,lifecycle_intent,all_stable,inadmissible,admissible,7,0.4375
OpenAI/gpt-5.6-sol,lifecycle_intent,all_stable,inadmissible,inadmissible,8,0.5
OpenAI/gpt-5.6-sol,lifecycle_intent,stable_admissible,admissible,admissible,1,0.125
OpenAI/gpt-5.6-sol,lifecycle_intent,stable_admissible,inadmissible,admissible,7,0.875
OpenAI/gpt-5.6-sol,lifecycle_intent,stable_inadmissible,inadmissible,inadmissible,8,1.0
OpenAI/gpt-5.6-sol,policy_purpose,all_stable,admissible,admissible,1,0.0625
OpenAI/gpt-5.6-sol,policy_purpose,all_stable,admissible,unknown,1,0.0625
OpenAI/gpt-5.6-sol,policy_purpose,all_stable,inadmissible,inadmissible,10,0.625
OpenAI/gpt-5.6-sol,policy_purpose,all_stable,inadmissible,unknown,2,0.125
OpenAI/gpt-5.6-sol,policy_purpose,all_stable,unknown,unknown,2,0.125
OpenAI/gpt-5.6-sol,policy_purpose,stable_admissible,admissible,admissible,1,0.125
