claim_id,family,population,source,contrast,metric,estimate,ci95_lower,ci95_upper,n,notes
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,OpenAI/gpt-5.6-sol,gpt56_controlled,strict_focal_pair_consistency,1.0,1.0,1.0,32,controlled_public_development;scenario_bootstrap;no_model_pooling
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,OpenAI/gpt-5.6-sol,gpt56_controlled,stable_control_overflip_rate,0.203125,0.109375,0.3125,64,controlled_public_development;scenario_bootstrap;no_model_pooling
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,OpenAI/gpt-5.6-sol,gpt56_controlled,stable_admissible_false_deny_rate,0.265625,,,64,controlled_public_development;posthoc_descriptive;no_model_pooling
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,OpenAI/gpt-5.6-sol,gpt56_controlled,stable_inadmissible_false_admit_rate,0.03125,,,64,controlled_public_development;posthoc_descriptive;no_model_pooling
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,Gemini/gemini-3.6-flash,gemini_controlled,strict_focal_pair_consistency,1.0,1.0,1.0,32,controlled_public_development;scenario_bootstrap;no_model_pooling
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,Gemini/gemini-3.6-flash,gemini_controlled,stable_control_overflip_rate,0.296875,0.21875,0.375,64,controlled_public_development;scenario_bootstrap;no_model_pooling
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,Gemini/gemini-3.6-flash,gemini_controlled,stable_admissible_false_deny_rate,0.53125,,,64,controlled_public_development;posthoc_descriptive;no_model_pooling
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,Gemini/gemini-3.6-flash,gemini_controlled,stable_inadmissible_false_admit_rate,0.0,,,64,controlled_public_development;posthoc_descriptive;no_model_pooling
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,DeepSeek/deepseek-v4-pro,deepseek_controlled,strict_focal_pair_consistency,0.71875,0.59375,0.84375,32,controlled_public_development;scenario_bootstrap;no_model_pooling
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,DeepSeek/deepseek-v4-pro,deepseek_controlled,stable_control_overflip_rate,0.265625,0.1875,0.34375,64,controlled_public_development;scenario_bootstrap;no_model_pooling
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,DeepSeek/deepseek-v4-pro,deepseek_controlled,stable_admissible_false_deny_rate,0.59375,,,64,controlled_public_development;posthoc_descriptive;no_model_pooling
C11,controlled_selective_verification,16 controlled scenarios; 32 focal pairs; 64 stable candidate pairs,DeepSeek/deepseek-v4-pro,deepseek_controlled,stable_inadmissible_false_admit_rate,0.015625,,,64,controlled_public_development;posthoc_descriptive;no_model_pooling
