claim_id,family,population,source,contrast,metric,estimate,ci95_lower,ci95_upper,n,notes
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,gpt-5.6-sol,exposed_minus_withheld,relevant_admissible_effect,0.90625,0.71875,1.0,32,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,gpt-5.6-sol,exposed_minus_withheld,relevant_inadmissible_effect,0.0,-0.15625,0.125,32,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,gpt-5.6-sol,exposed_minus_withheld,irrelevant_admissible_effect,0.046875,0.0,0.140625,64,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,gpt-5.6-sol,exposed_minus_withheld,irrelevant_inadmissible_effect,0.0,0.0,0.0,64,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,gpt-5.6-sol,admissible_minus_inadmissible,selectivity_gap,0.90625,0.8125,0.96875,64,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,gemini-3.6-flash,exposed_minus_withheld,relevant_admissible_effect,0.8125,0.6875,0.9375,32,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,gemini-3.6-flash,exposed_minus_withheld,relevant_inadmissible_effect,0.0,-0.0625,0.0625,32,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,gemini-3.6-flash,exposed_minus_withheld,irrelevant_admissible_effect,0.03125,0.0,0.09375,64,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,gemini-3.6-flash,exposed_minus_withheld,irrelevant_inadmissible_effect,0.0,0.0,0.0,64,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,gemini-3.6-flash,admissible_minus_inadmissible,selectivity_gap,0.8125,0.6875,0.9375,64,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,deepseek-v4-pro,exposed_minus_withheld,relevant_admissible_effect,0.8125,0.71875,0.875,32,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,deepseek-v4-pro,exposed_minus_withheld,relevant_inadmissible_effect,0.15625,0.03125,0.3125,32,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,deepseek-v4-pro,exposed_minus_withheld,irrelevant_admissible_effect,0.0,0.0,0.0,64,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,deepseek-v4-pro,exposed_minus_withheld,irrelevant_inadmissible_effect,0.0,0.0,0.0,64,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
C8,counterfactual_exposure,16 controlled scenarios with paired exposed and withheld reader requests,deepseek-v4-pro,admissible_minus_inadmissible,selectivity_gap,0.65625,0.5,0.8125,64,controlled_prompt_intervention;scenario_bootstrap;providers_not_pooled;no_judge;not_official_benchmark
