provider,model,arm,stratum,query_count,evidence_recall,feasible_rate,penalized_admissibility_upper_risk,conditional_admissibility_upper_risk,known_admissibility_violation_rate,mean_route_width,oracle_risk_gap_closed
OpenAI,gpt-5.6-sol,namespace_dense,memops/current_state,24,0.5847222222222223,0.375,0.7220295329670329,0.2587454212454212,0.2520299145299145,20.0,
OpenAI,gpt-5.6-sol,namespace_dense,memops/history,24,0.41805555555555557,0.041666666666666664,0.9606481481481483,0.05555555555555555,0.05555555555555555,20.0,
OpenAI,gpt-5.6-sol,namespace_dense,rhelm/current_state,24,0.5729166666666666,0.4166666666666667,0.5833333333333334,0.0,0.0,20.0,
OpenAI,gpt-5.6-sol,namespace_dense,equal_stratum_macro,72,0.5252314814814815,0.2777777777777778,0.7553370048161715,0.10476699226699226,0.10252849002849003,20.0,
OpenAI,gpt-5.6-sol,released_oracle,memops/current_state,24,0.5847222222222223,0.375,0.6284722222222222,0.009259259259259259,0.0,15.25,
OpenAI,gpt-5.6-sol,released_oracle,memops/history,24,0.41805555555555557,0.041666666666666664,0.9583333333333334,0.0,0.0,15.583333333333334,
OpenAI,gpt-5.6-sol,released_oracle,rhelm/current_state,24,0.5729166666666666,0.4166666666666667,0.5833333333333334,0.0,0.0,20.0,
OpenAI,gpt-5.6-sol,released_oracle,equal_stratum_macro,72,0.5252314814814815,0.2777777777777778,0.7233796296296297,0.0030864197530864196,0.0,16.944444444444446,
OpenAI,gpt-5.6-sol,text_inferred,memops/current_state,24,0.4597222222222222,0.125,0.8922619047619048,0.13809523809523808,0.11794871794871796,15.083333333333334,
OpenAI,gpt-5.6-sol,text_inferred,memops/history,24,0.41805555555555557,0.041666666666666664,0.9606481481481483,0.05555555555555555,0.05555555555555555,19.291666666666668,
OpenAI,gpt-5.6-sol,text_inferred,rhelm/current_state,24,0.5729166666666666,0.4166666666666667,0.5833333333333334,0.0,0.0,19.833333333333332,
OpenAI,gpt-5.6-sol,text_inferred,equal_stratum_macro,72,0.4835648148148148,0.19444444444444445,0.8120811287477955,0.06455026455026454,0.05783475783475783,18.069444444444446,-1.7756190425651894
OpenAI,gpt-5.6-sol,abstaining_verifier,memops/current_state,24,0.4597222222222222,0.125,0.8922619047619048,0.13809523809523808,0.11794871794871796,15.083333333333334,
OpenAI,gpt-5.6-sol,abstaining_verifier,memops/history,24,0.41805555555555557,0.041666666666666664,0.9606481481481483,0.05555555555555555,0.05555555555555555,19.291666666666668,
OpenAI,gpt-5.6-sol,abstaining_verifier,rhelm/current_state,24,0.5729166666666666,0.4166666666666667,0.5833333333333334,0.0,0.0,19.833333333333332,
OpenAI,gpt-5.6-sol,abstaining_verifier,equal_stratum_macro,72,0.4835648148148148,0.19444444444444445,0.8120811287477955,0.06455026455026454,0.05783475783475783,18.069444444444446,-1.7756190425651894
Gemini,gemini-3.6-flash,namespace_dense,memops/current_state,24,0.5847222222222223,0.375,0.7220295329670329,0.2587454212454212,0.2520299145299145,20.0,
Gemini,gemini-3.6-flash,namespace_dense,memops/history,24,0.41805555555555557,0.041666666666666664,0.9606481481481483,0.05555555555555555,0.05555555555555555,20.0,
Gemini,gemini-3.6-flash,namespace_dense,rhelm/current_state,24,0.5729166666666666,0.4166666666666667,0.5833333333333334,0.0,0.0,20.0,
Gemini,gemini-3.6-flash,namespace_dense,equal_stratum_macro,72,0.5252314814814815,0.2777777777777778,0.7553370048161715,0.10476699226699226,0.10252849002849003,20.0,
Gemini,gemini-3.6-flash,released_oracle,memops/current_state,24,0.5847222222222223,0.375,0.6284722222222222,0.009259259259259259,0.0,15.25,
Gemini,gemini-3.6-flash,released_oracle,memops/history,24,0.41805555555555557,0.041666666666666664,0.9583333333333334,0.0,0.0,15.583333333333334,
Gemini,gemini-3.6-flash,released_oracle,rhelm/current_state,24,0.5729166666666666,0.4166666666666667,0.5833333333333334,0.0,0.0,20.0,
Gemini,gemini-3.6-flash,released_oracle,equal_stratum_macro,72,0.5252314814814815,0.2777777777777778,0.7233796296296297,0.0030864197530864196,0.0,16.944444444444446,
Gemini,gemini-3.6-flash,text_inferred,memops/current_state,24,0.5430555555555555,0.2916666666666667,0.7758985805860806,0.23165227629513344,0.22301805337519623,18.833333333333332,
Gemini,gemini-3.6-flash,text_inferred,memops/history,24,0.41805555555555557,0.041666666666666664,0.9606481481481483,0.05555555555555555,0.05555555555555555,19.958333333333332,
Gemini,gemini-3.6-flash,text_inferred,rhelm/current_state,24,0.5729166666666666,0.4166666666666667,0.5833333333333334,0.0,0.0,20.0,
Gemini,gemini-3.6-flash,text_inferred,equal_stratum_macro,72,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.59722222222222,-0.5618843569452844
Gemini,gemini-3.6-flash,abstaining_verifier,memops/current_state,24,0.5430555555555555,0.2916666666666667,0.7758985805860806,0.23165227629513344,0.22301805337519623,18.833333333333332,
Gemini,gemini-3.6-flash,abstaining_verifier,memops/history,24,0.41805555555555557,0.041666666666666664,0.9606481481481483,0.05555555555555555,0.05555555555555555,19.958333333333332,
Gemini,gemini-3.6-flash,abstaining_verifier,rhelm/current_state,24,0.5729166666666666,0.4166666666666667,0.5833333333333334,0.0,0.0,20.0,
Gemini,gemini-3.6-flash,abstaining_verifier,equal_stratum_macro,72,0.5113425925925926,0.25,0.7732933540225208,0.09573594395022966,0.09285786964358393,19.59722222222222,-0.5618843569452844
