provider,model,scope,cell,unit_count,scenario_count,exposed_disclosure_rate,withheld_disclosure_rate,exposure_effect,exposed_refusal_rate,withheld_refusal_rate,refusal_effect
OpenAI,gpt-5.6-sol,overall,relevant_admissible,32,16,0.96875,0.0625,0.90625,0.0,0.9375,-0.9375
OpenAI,gpt-5.6-sol,overall,relevant_inadmissible,32,16,0.0625,0.0625,0.0,0.90625,0.96875,-0.0625
OpenAI,gpt-5.6-sol,overall,irrelevant_admissible,64,16,0.046875,0.0,0.046875,0.453125,0.484375,-0.03125
OpenAI,gpt-5.6-sol,overall,irrelevant_inadmissible,64,16,0.0,0.0,0.0,0.453125,0.4375,0.015625
OpenAI,gpt-5.6-sol,as_of_time,relevant_admissible,8,4,0.875,0.25,0.625,0.0,0.875,-0.875
OpenAI,gpt-5.6-sol,as_of_time,relevant_inadmissible,8,4,0.125,0.25,-0.125,0.75,1.0,-0.25
OpenAI,gpt-5.6-sol,as_of_time,irrelevant_admissible,16,4,0.1875,0.0,0.1875,0.3125,0.5,-0.1875
OpenAI,gpt-5.6-sol,as_of_time,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.3125,0.25,0.0625
OpenAI,gpt-5.6-sol,lifecycle_intent,relevant_admissible,8,4,1.0,0.0,1.0,0.0,1.0,-1.0
OpenAI,gpt-5.6-sol,lifecycle_intent,relevant_inadmissible,8,4,0.0,0.0,0.0,1.0,1.0,0.0
OpenAI,gpt-5.6-sol,lifecycle_intent,irrelevant_admissible,16,4,0.0,0.0,0.0,0.5,0.5,0.0
OpenAI,gpt-5.6-sol,lifecycle_intent,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.5,0.5,0.0
OpenAI,gpt-5.6-sol,policy_purpose,relevant_admissible,8,4,1.0,0.0,1.0,0.0,0.875,-0.875
OpenAI,gpt-5.6-sol,policy_purpose,relevant_inadmissible,8,4,0.125,0.0,0.125,0.875,0.875,0.0
OpenAI,gpt-5.6-sol,policy_purpose,irrelevant_admissible,16,4,0.0,0.0,0.0,0.5,0.5,0.0
OpenAI,gpt-5.6-sol,policy_purpose,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.5,0.5,0.0
