provider,model,scope,contrast,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,scenario_count,unit_count
OpenAI,gpt-5.6-sol,overall,relevant_admissible,exposure_effect,0.90625,0.71875,1.0,10000,16,32
OpenAI,gpt-5.6-sol,overall,relevant_inadmissible,exposure_effect,0.0,-0.15625,0.125,10000,16,32
OpenAI,gpt-5.6-sol,overall,irrelevant_admissible,exposure_effect,0.046875,0.0,0.140625,10000,16,64
OpenAI,gpt-5.6-sol,overall,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,16,64
OpenAI,gpt-5.6-sol,overall,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.90625,0.8125,0.96875,10000,16,64
OpenAI,gpt-5.6-sol,as_of_time,relevant_admissible,exposure_effect,0.625,-0.125,1.0,10000,4,8
OpenAI,gpt-5.6-sol,as_of_time,relevant_inadmissible,exposure_effect,-0.125,-0.75,0.375,10000,4,8
OpenAI,gpt-5.6-sol,as_of_time,irrelevant_admissible,exposure_effect,0.1875,0.0,0.5625,10000,4,16
OpenAI,gpt-5.6-sol,as_of_time,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
OpenAI,gpt-5.6-sol,as_of_time,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.75,0.5,1.0,10000,4,16
OpenAI,gpt-5.6-sol,lifecycle_intent,relevant_admissible,exposure_effect,1.0,1.0,1.0,10000,4,8
OpenAI,gpt-5.6-sol,lifecycle_intent,relevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,8
OpenAI,gpt-5.6-sol,lifecycle_intent,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,4,16
OpenAI,gpt-5.6-sol,lifecycle_intent,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
OpenAI,gpt-5.6-sol,lifecycle_intent,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,1.0,1.0,1.0,10000,4,16
OpenAI,gpt-5.6-sol,policy_purpose,relevant_admissible,exposure_effect,1.0,1.0,1.0,10000,4,8
OpenAI,gpt-5.6-sol,policy_purpose,relevant_inadmissible,exposure_effect,0.125,0.0,0.375,10000,4,8
OpenAI,gpt-5.6-sol,policy_purpose,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,4,16
OpenAI,gpt-5.6-sol,policy_purpose,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
OpenAI,gpt-5.6-sol,policy_purpose,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.875,0.625,1.0,10000,4,16
OpenAI,gpt-5.6-sol,principal_scope,relevant_admissible,exposure_effect,1.0,1.0,1.0,10000,4,8
OpenAI,gpt-5.6-sol,principal_scope,relevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,8
OpenAI,gpt-5.6-sol,principal_scope,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,4,16
OpenAI,gpt-5.6-sol,principal_scope,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
OpenAI,gpt-5.6-sol,principal_scope,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,1.0,1.0,1.0,10000,4,16
Gemini,gemini-3.6-flash,overall,relevant_admissible,exposure_effect,0.8125,0.6875,0.9375,10000,16,32
Gemini,gemini-3.6-flash,overall,relevant_inadmissible,exposure_effect,0.0,-0.0625,0.0625,10000,16,32
Gemini,gemini-3.6-flash,overall,irrelevant_admissible,exposure_effect,0.03125,0.0,0.09375,10000,16,64
Gemini,gemini-3.6-flash,overall,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,16,64
Gemini,gemini-3.6-flash,overall,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.8125,0.6875,0.9375,10000,16,64
Gemini,gemini-3.6-flash,as_of_time,relevant_admissible,exposure_effect,0.875,0.625,1.0,10000,4,8
Gemini,gemini-3.6-flash,as_of_time,relevant_inadmissible,exposure_effect,-0.125,-0.375,0.0,10000,4,8
Gemini,gemini-3.6-flash,as_of_time,irrelevant_admissible,exposure_effect,0.125,0.0,0.375,10000,4,16
Gemini,gemini-3.6-flash,as_of_time,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
